id,altura_fin_derecha,altura_fin_izquierda,altura_inicio_derecha,altura_inicio_izquierda,categoria,departamento_id,departamento_nombre,fuente,localidad_censal_id,localidad_censal_nombre,nombre,provincia_id,provincia_nombre
1401401025310,2098,2099,1800,1801,CALLE,14014,Capital,INDEC,14014010,Córdoba,GREGORIO TORREALDAY,14,Córdoba
1401401030365,10498,10499,10400,10401,CALLE,14014,Capital,INDEC,14014010,Córdoba,MAQUINCHAO,14,Córdoba
1401401031245,9798,9799,9300,9301,CALLE,14014,Capital,INDEC,14014010,Córdoba,MILLANCO,14,Córdoba
1401401031310,1698,1699,1600,1601,CALLE,14014,Capital,INDEC,14014010,Córdoba,MISMICAT,14,Córdoba
1401401030555,3298,3299,3200,3201,CALLE,14014,Capital,INDEC,14014010,Córdoba,MARIANO DE MARIA,14,Córdoba
1401401031385,1898,1899,1600,1601,CALLE,14014,Capital,INDEC,14014010,Córdoba,MONTANA,14,Córdoba
1401401030620,1698,1699,1600,1601,CALLE,14014,Capital,INDEC,14014010,Córdoba,MARIANO VELAZCO,14,Córdoba
1401401031445,5998,5999,5800,5801,CALLE,14014,Capital,INDEC,14014010,Córdoba,MORAZAN,14,Córdoba
1401401030760,7198,7199,7000,7001,CALLE,14014,Capital,INDEC,14014010,Córdoba,MARTIN MALHARRO,14,Córdoba
1401401031595,1298,1299,1200,1201,CALLE,14014,Capital,INDEC,14014010,Córdoba,NEPTUNO,14,Córdoba
1401401031615,1698,1699,1600,1601,CALLE,14014,Capital,INDEC,14014010,Córdoba,NEVADA,14,Córdoba
1401401031710,7898,7899,0,0,CALLE,14014,Capital,INDEC,14014010,Córdoba,NIELS BOHR,14,Córdoba
1401401030980,3248,3249,3150,3151,CALLE,14014,Capital,INDEC,14014010,Córdoba,MELCHOR DE NAVARRA Y ROCAFULL,14,Córdoba
1401401031800,0,0,0,0,CALLE,14014,Capital,INDEC,14014010,Córdoba,NTRA SRA DE LORETO,14,Córdoba
1401401031880,1798,1799,1500,1501,CALLE,14014,Capital,INDEC,14014010,Córdoba,OCARINA,14,Córdoba
1401401031910,1998,1999,1800,1801,CALLE,14014,Capital,INDEC,14014010,Córdoba,OLAYON,14,Córdoba
1401401032085,1898,1899,1800,1801,CALLE,14014,Capital,INDEC,14014010,Córdoba,OSPO MANUEL AZAMOR Y RAMIREZ,14,Córdoba
1401401032100,1098,1099,1000,1001,CALLE,14014,Capital,INDEC,14014010,Córdoba,OSPO MIGUEL GREGORIO DE ZAMALLOA,14,Córdoba
9400801001590,0,0,0,0,CALLE,94008,Río Grande,INDEC,94008010,Río Grande,LOS JAZMINES,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
1401401032140,2398,2399,2250,2251,CALLE,14014,Capital,INDEC,14014010,Córdoba,OSPO VIDELA DEL PINO,14,Córdoba
1401401032240,4528,4529,4500,4501,CALLE,14014,Capital,INDEC,14014010,Córdoba,PABLO DIANA,14,Córdoba
1401401032260,2098,2099,2000,2001,CALLE,14014,Capital,INDEC,14014010,Córdoba,PABLO GRIERA,14,Córdoba
1401401032465,1998,1999,1450,1451,CALLE,14014,Capital,INDEC,14014010,Córdoba,PANIZA,14,Córdoba
1401401032480,0,0,0,0,CALLE,14014,Capital,INDEC,14014010,Córdoba,PARAISO,14,Córdoba
1401401032580,7798,7799,7600,7601,CALLE,14014,Capital,INDEC,14014010,Córdoba,PASIONARIA,14,Córdoba
1401401031785,1598,1599,1250,1251,CALLE,14014,Capital,INDEC,14014010,Córdoba,NORBERTO ZAVALIA,14,Córdoba
1401401032605,2298,2299,2200,2201,CALLE,14014,Capital,INDEC,14014010,Córdoba,PASO VIEJO,14,Córdoba
1401401032745,6198,6199,5900,5901,CALLE,14014,Capital,INDEC,14014010,Córdoba,PEDRO CECHI,14,Córdoba
1401401032005,2498,2499,2300,2301,CALLE,14014,Capital,INDEC,14014010,Córdoba,ORREGO,14,Córdoba
1401401032835,5248,5249,4850,4851,CALLE,14014,Capital,INDEC,14014010,Córdoba,PEDRO DE MERCADO DE PENALOZA,14,Córdoba
1401401032925,5098,5099,5000,5001,CALLE,14014,Capital,INDEC,14014010,Córdoba,PEDRO GARAY,14,Córdoba
1401401033065,2598,2599,2500,2501,CALLE,14014,Capital,INDEC,14014010,Córdoba,PENCALES,14,Córdoba
1401401033090,198,199,0,1,CALLE,14014,Capital,INDEC,14014010,Córdoba,PERALES,14,Córdoba
1401401032295,98,99,0,1,CALLE,14014,Capital,INDEC,14014010,Córdoba,PABLO VIDELA,14,Córdoba
1401401033265,1398,1399,1350,1351,PJE,14014,Capital,INDEC,14014010,Córdoba,PJE 18 DE SETIEMBRE,14,Córdoba
1401401033365,598,599,500,501,PJE,14014,Capital,INDEC,14014010,Córdoba,PJE ARES,14,Córdoba
1401401032560,698,699,650,651,CALLE,14014,Capital,INDEC,14014010,Córdoba,PASCUAL PENALOZA,14,Córdoba
1401401032750,4168,4169,4050,4051,CALLE,14014,Capital,INDEC,14014010,Córdoba,PEDRO CENTENARIO,14,Córdoba
1401401032860,3348,3349,3100,3101,CALLE,14014,Capital,INDEC,14014010,Córdoba,PEDRO DE PINEDA,14,Córdoba
1401401032905,3348,3349,350,351,CALLE,14014,Capital,INDEC,14014010,Córdoba,PEDRO DUVAL,14,Córdoba
1401401034645,0,0,0,0,PJE,14014,Capital,INDEC,14014010,Córdoba,PJE S N,14,Córdoba
1401401033255,24,25,0,1,CALLE,14014,Capital,INDEC,14014010,Córdoba,PIURA,14,Córdoba
1401401033325,3598,3599,3500,3501,PJE,14014,Capital,INDEC,14014010,Córdoba,PJE ANATUYA,14,Córdoba
1401401036095,9798,9799,9700,9701,PJE,14014,Capital,INDEC,14014010,Córdoba,PJE SAN MIGUEL,14,Córdoba
1401401036100,2198,2199,1800,1801,PJE,14014,Capital,INDEC,14014010,Córdoba,PJE SAN PABLO,14,Córdoba
1401401036525,8198,8199,8100,8101,CALLE,14014,Capital,INDEC,14014010,Córdoba,QUEMANTA,14,Córdoba
1401401036625,628,629,400,401,CALLE,14014,Capital,INDEC,14014010,Córdoba,QUIRNO COSTA,14,Córdoba
