Empresa,Resolución,Fecha,Expediente,Multa (UT),Unidad,Multa ($),Discriminación,Tipo Sanción,Año
Telefónica Moviles Argentina,795-DISPAFTICDINAU/2015,19/01/15,5107-EXPCNC/2015,$ 800.000,UT,$ 37.520,Cambio Plan,Multa,2015
Telefónica de Argentina S.A.,796-DISPAFTICDINAU/2015,19/01/15,5112-EXPCNC/2015,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2015
Telefónica Moviles Argentina,748-DISPAFTICDINAU/2015,16/01/15,1758-EXPAFTIC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telefónica de Argentina S.A.,797-DISPAFTICDINAU/2015,19/01/15,10309-EXPCNC/2014,$ 8.000.000,UT,$ 375.200,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,749-DISPAFTICDINAU/2015,16/01/15,3021-EXPCNC/2015,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,750-DISPAFTICDINAU/2015,16/01/15,4219-EXPCNC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telecom Argentina S.A.,798-DISPAFTICDINAU/2015,19/01/15,7670-EXPCNC/2014,$ 2.000.000,UT,$ 93.800,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,799-DISPAFTICDINAU/2015,19/01/15,2960-EXPCNC/2013,$ 900.000,UT,$ 42.210,Facturación,Multa,2015
Telecom Personal S.A.,800-DISPAFTICDINAU/2015,19/01/15,16986-EXPCNC/2014,$ 800.000,UT,$ 37.520,Facturación,Multa,2015
Telecom Argentina S.A.,801-DISPAFTICDINAU/2015,19/01/15,1782-EXPCNC/2015,$ 4.000.000,UT,$ 187.600,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,815-DISPAFTICDINAU/2015,19/01/15,7924-EXPCNC/2014,$ 12.000.000,UT,$ 562.800,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,1046-DISPAFTICDINAU/2015,25/01/15,7701-EXPCNC/2014,$ 12.000.000,UT,$ 562.800,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,726-DISPAFTICDINAU/2015,10/01/15,14192-EXPCNC/2013,$ 1.600.000,UT,$ 75.040,Facturación,Multa,2015
A.M.X. Argentina S.A.,665-DISPAFTICDINAU/2015,23/01/15,1043-EXPAFTIC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telefónica de Argentina S.A.,821-DISPAFTICDINAU/2015,19/01/15,1837-EXPCNC/2014,$ 3.600.000,UT,$ 168.840,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,802-DISPAFTICDINAU/2015,19/01/15,10876-EXPCNC/2014,$ 5.000.000,UT,$ 234.500,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,803-DISPAFTICDINAU/2015,19/01/15,2522-EXPCNC/2014,$ 4.500.000,UT,$ 211.050,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,686-DISPAFTICDINAU/2015,26/01/15,205-EXPAFTIC/2015,$ 800.000,UT,$ 37.520,Facturación y Servicios,Multa,2015
Telecom Argentina S.A.,687-DISPAFTICDINAU/2015,26/01/15,124-EXPAFTIC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telefónica de Argentina S.A.,688-DISPAFTICDINAU/2015,26/01/15,3137-EXPCNC/2015,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2015
