Empresa,Resolución,Fecha,Expediente,Multa (UT),Unidad,Multa ($),Discriminación,Tipo Sanción,Año
Telecom Argentina S.A.,67-APN-ENACOM#MM/2018,03/01/18,452-EXPENACOM/2017,$ 900.000,UT,$ 42.210,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,68-APN-ENACOM#MM/2018,03/01/18,5696-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,69-APN-ENACOM#MM/2018,03/01/18,2717-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,70-APN-ENACOM#MM/2018,03/01/18,5654-EXPCNC/2013,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telefónica de Argentina S.A.,71-APN-ENACOM#MM/2018,03/01/18,1112-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,72-APN-ENACOM#MM/2018,03/01/18,1766-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,73-APN-ENACOM#MM/2018,03/01/18,13820-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,76-APN-ENACOM#MM/2018,04/01/18,2916-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,77-APN-ENACOM#MM/2018,04/01/18,2533-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,78-APN-ENACOM#MM/2018,04/01/18,5851-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,79-APN-ENACOM#MM/2018,04/01/18,5770-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Personal S.A.,80-APN-ENACOM#MM/2018,04/01/18,5490-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Servicio Deficiente,Multa,2018
Telecom Argentina S.A.,81-APN-ENACOM#MM/2018,04/01/18,3128-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,82-APN-ENACOM#MM/2018,04/01/18,6929-EXPENACOM/2017,$ 100.000,UT,$ 4.690,Facturación,Multa,2018
Telecom Argentina S.A.,83-APN-ENACOM#MM/2018,04/01/18,2771-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,84-APN-ENACOM#MM/2018,04/01/18,1616-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telecom Personal S.A.,85-APN-ENACOM#MM/2018,04/01/18,1958-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telefónica de Argentina S.A.,86-APN-ENACOM#MM/2018,04/01/18,5876-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,138-APN-ENACOM#MM/2018,05/01/18,9933-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,139-APN-ENACOM#MM/2018,05/01/18,12547-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,66-APN-ENACOM#MM/2018,03/01/18,13299-EXPENACOM/2016,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,2-APN-ENACOM#MM/2018,03/01/18,13652-EXPCNC/2013,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,3-APN-ENACOM#MM/2018,03/01/18,15330-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,4-APN-ENACOM#MM/2018,03/01/18,984-EXPENACOM/2017,$ 900.000,UT,$ 42.210,Servicio Deficiente,Multa,2018
Telefónica Moviles Argentina,5-APN-ENACOM#MM/2018,03/01/18,13695-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Servicio Deficiente,Multa,2018
Telecom Argentina S.A.,6-APN-ENACOM#MM/2018,03/01/18,2206-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Servicio Deficiente,Multa,2018
Telecom Argentina S.A.,7-APN-ENACOM#MM/2018,03/01/18,16889-EXPENACOM/2016,$ 800.000,UT,$ 37.520,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,8-APN-ENACOM#MM/2018,03/01/18,3878-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Personal S.A.,9-APN-ENACOM#MM/2018,03/01/18,3899-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Facturación,Multa,2018
Telefónica de Argentina S.A.,10-APN-ENACOM#MM/2018,03/01/18,6164-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,11-APN-ENACOM#MM/2018,03/01/18,13426-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telmex Argentina,12-APN-ENACOM#MM/2018,03/01/18,2657-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Servicio Deficiente,Multa,2018
Telecom Argentina S.A.,13-APN-ENACOM#MM/2018,03/01/18,3064-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,14-APN-ENACOM#MM/2018,03/01/18,2356-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telefónica de Argentina S.A.,15-APN-ENACOM#MM/2018,03/01/18,3876-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,16-APN-ENACOM#MM/2018,03/01/18,4831-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Personal S.A.,17-APN-ENACOM#MM/2018,03/01/18,7184-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telefonia Publica Y Privada,18-APN-ENACOM#MM/2018,03/01/18,7194-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Internet,Multa,2018
Telefónica de Argentina S.A.,19-APN-ENACOM#MM/2018,03/01/18,4285-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,65-APN-ENACOM#MM/2018,03/01/18,15852-EXPENACOM/2016,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,232-APN-ENACOM#MM/2018,09/01/18,16795-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Baja Servicio,Multa,2018
Telecom Argentina S.A.,231-APN-ENACOM#MM/2018,09/01/18,10079-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Internet,Multa,2018
Telecom Argentina S.A.,230-APN-ENACOM#MM/2018,09/01/18,3916-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,229-APN-ENACOM#MM/2018,09/01/18,8945-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Servicio Deficiente,Multa,2018
Telefónica de Argentina S.A.,228-APN-ENACOM#MM/2018,09/01/18,5201-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,227-APN-ENACOM#MM/2018,09/01/18,2883-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,226-APN-ENACOM#MM/2018,09/01/18,7582-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,153-APN-ENACOM#MM/2018,05/01/18,10640-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Personal S.A.,152-APN-ENACOM#MM/2018,05/01/18,9490-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Código de Programación,Multa,2018
Telecom Argentina S.A.,151-APN-ENACOM#MM/2018,05/01/18,5307-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Internet,Multa,2018
Telecom Argentina S.A.,150-APN-ENACOM#MM/2018,05/01/18,10861-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telefónica de Argentina S.A.,233-APN-ENACOM#MM/2018,09/01/18,4755-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telecentro,234-APN-ENACOM#MM/2018,09/01/18,2747-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,235-APN-ENACOM#MM/2018,09/01/18,16644-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,236-APN-ENACOM#MM/2018,09/01/18,4422-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,237-APN-ENACOM#MM/2018,09/01/18,4740-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,149-APN-ENACOM#MM/2018,05/01/18,10448-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Servicio Deficiente,Multa,2018
Telecentro,238-APN-ENACOM#MM/2018,09/01/18,6591-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Internet,Multa,2018
Telecom Argentina S.A.,147-APN-ENACOM#MM/2018,05/01/18,8160-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,146-APN-ENACOM#MM/2018,05/01/18,3455-EXPENACOM/2016,$ 4.000.000,UT,$ 187.600,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,145-APN-ENACOM#MM/2018,05/01/18,14278-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,144-APN-ENACOM#MM/2018,05/01/18,16235-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,143-APN-ENACOM#MM/2018,05/01/18,10391-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,142-APN-ENACOM#MM/2018,05/01/18,10002-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,141-APN-ENACOM#MM/2018,05/01/18,16742-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,140-APN-ENACOM#MM/2018,05/01/18,15169-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,239-APN-ENACOM#MM/2018,09/01/18,4217-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,240-APN-ENACOM#MM/2018,09/01/18,5250-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Facturación,Multa,2018
Telecom Argentina S.A.,241-APN-ENACOM#MM/2018,09/01/18,14562-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telefónica Moviles Argentina,242-APN-ENACOM#MM/2018,09/01/18,2585-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Facturación,Multa,2018
Telefónica de Argentina S.A.,243-APN-ENACOM#MM/2018,09/01/18,8303-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,244-APN-ENACOM#MM/2018,09/01/18,11121-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Tarjetas Prepagas,Multa,2018
Telecom Argentina S.A.,245-APN-ENACOM#MM/2018,09/01/18,6065-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,246-APN-ENACOM#MM/2018,09/01/18,6724-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,247-APN-ENACOM#MM/2018,09/01/18,5655-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,248-APN-ENACOM#MM/2018,09/01/18,6006-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,249-APN-ENACOM#MM/2018,09/01/18,8937-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,250-APN-ENACOM#MM/2018,09/01/18,7523-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,251-APN-ENACOM#MM/2018,09/01/18,5724-EXPENACOM/2016,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,252-APN-ENACOM#MM/2018,09/01/18,7078-EXPCNC/2003,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,253-APN-ENACOM#MM/2018,09/01/18,2733-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,254-APN-ENACOM#MM/2018,09/01/18,2651-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Suspención Servicio,Multa,2018
Telecom Argentina S.A.,258-APN-ENACOM#MM/2018,09/01/18,6638-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Servicio Deficiente,Multa,2018
Telefónica de Argentina S.A.,257-APN-ENACOM#MM/2018,09/01/18,6072-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telefónica de Argentina S.A.,256-APN-ENACOM#MM/2018,09/01/18,4738-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,255-APN-ENACOM#MM/2018,09/01/18,6009-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,326-APN-ENACOM#MM/2018,11/01/18,9867-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,292-APN-ENACOM#MM/2018,09/01/18,4639-EXPENACOM/2016,$ 2.000.000,UT,$ 93.800,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,327-APN-ENACOM#MM/2018,11/01/18,11440-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,328-APN-ENACOM#MM/2018,11/01/18,3842-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,329-APN-ENACOM#MM/2018,11/01/18,1071-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
A.M.X. Argentina S.A.,293-APN-ENACOM#MM/2018,10/01/18,7908-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Servicio Deficiente,Multa,2018
Telefónica de Argentina S.A.,294-APN-ENACOM#MM/2018,10/01/18,7769-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,330-APN-ENACOM#MM/2018,11/01/18,7054-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,295-APN-ENACOM#MM/2018,10/01/18,4319-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Incomunicación,Multa,2018
Telecom Argentina S.A.,331-APN-ENACOM#MM/2018,11/01/18,8216-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telefónica Moviles Argentina,296-APN-ENACOM#MM/2018,10/01/18,10702-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Suministrar Información,Multa,2018
Telefónica de Argentina S.A.,297-APN-ENACOM#MM/2018,10/01/18,16888-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,298-APN-ENACOM#MM/2018,10/01/18,8601-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,299-APN-ENACOM#MM/2018,10/01/18,5567-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,324-APN-ENACOM#MM/2018,11/01/18,5522-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Baja Servicio,Multa,2018
Telecom Argentina S.A.,325-APN-ENACOM#MM/2018,11/01/18,3470-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,332-APN-ENACOM#MM/2018,11/01/18,9040-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Contrato,Multa,2018
Telecentro,333-APN-ENACOM#MM/2018,11/01/18,9495-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telefónica Moviles Argentina,334-APN-ENACOM#MM/2018,11/01/18,3615-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,335-APN-ENACOM#MM/2018,11/01/18,8964-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,336-APN-ENACOM#MM/2018,11/01/18,3466-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telecom Argentina S.A.,337-APN-ENACOM#MM/2018,11/01/18,11617-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,338-APN-ENACOM#MM/2018,11/01/18,10570-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,339-APN-ENACOM#MM/2018,11/01/18,9678-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,340-APN-ENACOM#MM/2018,11/01/18,5959-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,341-APN-ENACOM#MM/2018,11/01/18,8419-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,342-APN-ENACOM#MM/2018,11/01/18,6003-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,344-APN-ENACOM#MM/2018,12/01/18,4829-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,345-APN-ENACOM#MM/2018,12/01/18,8259-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,346-APN-ENACOM#MM/2018,12/01/18,7676-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,365-APN-ENACOM#MM/2018,16/01/18,15189-EXPENACOM/2016,$ 4.000.000,UT,$ 187.600,Servicio Deficiente,Multa,2018
Telecom Personal S.A.,366-APN-ENACOM#MM/2018,16/01/18,11267-EXPENACOM/2016,$ 800.000,UT,$ 37.520,Facturación,Multa,2018
Telecom Argentina S.A.,367-APN-ENACOM#MM/2018,16/01/18,10683-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Baja Servicio,Multa,2018
Telecom Argentina S.A.,368-APN-ENACOM#MM/2018,16/01/18,39-EXPAFTIC/2015,$ 2.400.000,UT,$ 112.560,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,369-APN-ENACOM#MM/2018,16/01/18,13255-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telecom Personal S.A.,370-APN-ENACOM#MM/2018,16/01/18,5082-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Baja Servicio,Multa,2018
Telecom Argentina S.A.,371-APN-ENACOM#MM/2018,16/01/18,9736-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,372-APN-ENACOM#MM/2018,16/01/18,9737-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,373-APN-ENACOM#MM/2018,16/01/18,3127-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telefónica de Argentina S.A.,374-APN-ENACOM#MM/2018,16/01/18,3323-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Plantel Exterior,Multa,2018
Telecom Argentina S.A.,375-APN-ENACOM#MM/2018,16/01/18,5757-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,376-APN-ENACOM#MM/2018,16/01/18,7446-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecentro,377-APN-ENACOM#MM/2018,16/01/18,6350-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telecom Personal S.A.,378-APN-ENACOM#MM/2018,16/01/18,3742-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,379-APN-ENACOM#MM/2018,16/01/18,1661-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Baja Servicio,Multa,2018
Telecom Personal S.A.,380-APN-ENACOM#MM/2018,16/01/18,4483-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Baja Servicio,Multa,2018
Telecom Argentina S.A.,381-APN-ENACOM#MM/2018,16/01/18,13109-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,382-APN-ENACOM#MM/2018,16/01/18,13337-EXPENACOM/2016,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,383-APN-ENACOM#MM/2018,16/01/18,13754-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,384-APN-ENACOM#MM/2018,16/01/18,13111-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,385-APN-ENACOM#MM/2018,16/01/18,1861-EXPENACOM/2016,$ 2.800.000,UT,$ 131.320,Cambio de Domicilio,Multa,2018
Telefónica de Argentina S.A.,386-APN-ENACOM#MM/2018,16/01/18,5754-EXPENACOM/2016,$ 2.400.000,UT,$ 112.560,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,387-APN-ENACOM#MM/2018,16/01/18,3560-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,388-APN-ENACOM#MM/2018,16/01/18,476-EXPENACOM/2016,$ 3.200.000,UT,$ 150.080,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,389-APN-ENACOM#MM/2018,16/01/18,13238-EXPENACOM/2016,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,390-APN-ENACOM#MM/2018,16/01/18,4280-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
Telefónica de Argentina S.A.,391-APN-ENACOM#MM/2018,16/01/18,8580-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,392-APN-ENACOM#MM/2018,16/01/18,5271-EXPAFTIC/2015,$ 1.700.000,UT,$ 79.730,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,408-APN-ENACOM#MM/2018,16/01/18,4909-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,410-APN-ENACOM#MM/2018,19/01/18,171-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2018
Telecom Argentina S.A.,411-APN-ENACOM#MM/2018,19/01/18,6267-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Baja Servicio,Multa,2018
Telecom Argentina S.A.,412-APN-ENACOM#MM/2018,19/01/18,7005-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,413-APN-ENACOM#MM/2018,19/01/18,10991-EXPENACOM/2016,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,417-APN-ENACOM#MM/2018,26/01/18,4907-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,418-APN-ENACOM#MM/2018,26/01/18,8837-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,432-APN-ENACOM#MM/2018,26/01/18,4360-EXPENACOM/2017,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,431-APN-ENACOM#MM/2018,26/01/18,5456-EXPENACOM/2016,$ 2.000.000,UT,$ 93.800,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,433-APN-ENACOM#MM/2018,26/01/18,7892-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,434-APN-ENACOM#MM/2018,26/01/18,7379-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,435-APN-ENACOM#MM/2018,26/01/18,14373-EXPENACOM/2016,$ 2.400.000,UT,$ 112.560,Reparación Servicio,Multa,2018
Telefónica de Argentina S.A.,436-APN-ENACOM#MM/2018,26/01/18,13093-EXPENACOM/2016,$ 3.200.000,UT,$ 150.080,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,438-APN-ENACOM#MM/2018,26/01/18,4763-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Reparación Servicio,Multa,2018
Telecom Personal S.A.,439-APN-ENACOM#MM/2018,26/01/18,6737-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Bloqueo Servicio,Multa,2018
Telecom Argentina S.A.,440-APN-ENACOM#MM/2018,26/01/18,6222-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,441-APN-ENACOM#MM/2018,26/01/18,4063-EXPENACOM/2017,$ 900.000,UT,$ 42.210,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,442-APN-ENACOM#MM/2018,26/01/18,7551-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,443-APN-ENACOM#MM/2018,26/01/18,8142-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Internet,Multa,2018
Telefónica de Argentina S.A.,444-APN-ENACOM#MM/2018,26/01/18,5836-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,445-APN-ENACOM#MM/2018,26/01/18,9006-EXPENACOM/2017,$ 500.000,UT,$ 23.450,Servicio Deficiente,Multa,2018
Telecom Argentina S.A.,447-APN-ENACOM#MM/2018,26/01/18,8756-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2018
Telecom Argentina S.A.,448-APN-ENACOM#MM/2018,26/01/18,3763-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Cambio de Domicilio,Multa,2018
Telecom Argentina S.A.,450-APN-ENACOM#MM/2018,26/01/18,85-EXPENACOM/2017,$ 400.000,UT,$ 18.760,Facturación,Multa,2018
